san_pham_id,ten,mo_ta,gia,anh,con_hang,thuong_hieu
278630285,Apple iPhone Air - Xanh Da Trời - 256GB,Apple iPhone Air - Xanh Da Trời - 256GB,23750000,https://salt.tikicdn.com/cache/280x280/ts/product/ef/67/33/79cbb046ea3942e6e9046f172a08573e.jpg,,Apple
278630241,Apple iPhone 17 - Xanh lam khói - 256GB,Apple iPhone 17 - Xanh lam khói - 256GB,24250000,https://salt.tikicdn.com/cache/280x280/ts/product/1a/c8/62/aa4e6535955731e843c1c00d2c7dbdd0.jpg,,Apple
278628866,Apple iPhone 17 Pro Max,Apple iPhone 17 Pro Max,37290000,https://salt.tikicdn.com/cache/280x280/ts/product/cb/a9/4c/48456b4f0f67bcb75829ed6243b4441f.jpg,,Apple
278628812,Apple iPhone 17 Pro,Apple iPhone 17 Pro,33990000,https://salt.tikicdn.com/cache/280x280/ts/product/b5/c9/72/bba1712b77ad93643395eaf0a0470adc.jpg,,Apple
278600678,"Điện Thoại Samsung Galaxy S25 FE (8/128GB), Concert Camera 50MP, Pin bền bỉ, Trợ thủ AI thông minh - Hàng chính hãng","Điện Thoại Samsung Galaxy S25 FE (8/128GB), Concert Camera 50MP, Pin bền bỉ, Trợ thủ AI thông minh - Hàng chính hãng",11990000,https://salt.tikicdn.com/cache/280x280/ts/product/9b/3c/0c/550bab23f8338325fd8f80b7a99cf77a.PNG,,Samsung
278505394,"Điện Thoại Samsung Galaxy A17 LTE (8/128GB), Kính Cường Lực Gorilla Victus, Camera 50MP & IOS, AI Gemini - Hàng Chính Hãng","Điện Thoại Samsung Galaxy A17 LTE (8/128GB), Kính Cường Lực Gorilla Victus, Camera 50MP & IOS, AI Gemini - Hàng Chính Hãng",4190000,https://salt.tikicdn.com/cache/280x280/ts/product/9d/6d/b7/ac0cf6627957a9807103864b3cc18e7e.jpg,,Samsung
277777809,"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng","Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",5290000,https://salt.tikicdn.com/cache/280x280/ts/product/01/d1/7e/f80588242bfff6b3b8ea0403bec886c6.jpg,,Samsung
277619147,Máy tính bảng iPad Gen 11 (A16) WiFi,Máy tính bảng iPad Gen 11 (A16) WiFi,9290000,https://salt.tikicdn.com/cache/280x280/ts/product/32/b8/2c/128f7fd04a851c66e26be782fdb7b64e.jpg,,Apple
277574339,Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,180000,https://salt.tikicdn.com/cache/280x280/ts/product/28/e4/7f/d1f6c5467529914727d0d213b507a0c6.png,,Samsung
277553639,"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng","Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",2390000,https://salt.tikicdn.com/cache/280x280/ts/product/3c/e7/ec/70f5cce5f61c20938c38137bbc597663.jpg,,Samsung
277466537,Điện Thoại Samsung Galaxy A36 5G - Hàng Chính Hãng,Điện Thoại Samsung Galaxy A36 5G - Hàng Chính Hãng,6590000,https://salt.tikicdn.com/cache/280x280/ts/product/d3/8e/4b/45b8f590abab4a7178d43c281de95e2d.jpg,,Samsung
276944868,Điện Thoại Samsung Galaxy A16 4GB/128GB - Hàng Chính Hãng,Điện Thoại Samsung Galaxy A16 4GB/128GB - Hàng Chính Hãng,3699000,https://salt.tikicdn.com/cache/280x280/ts/product/86/42/e4/584b955d2613c7ce140532df0ef8f1e8.jpg,,Samsung
276448920,"Máy đọc sách Amazon Kindle Paperwhite 6 (Gen 12th), Mới nguyên Seal - Hàng chính hãng","Máy đọc sách Amazon Kindle Paperwhite 6 (Gen 12th), Mới nguyên Seal - Hàng chính hãng",4890000,https://salt.tikicdn.com/cache/280x280/ts/product/59/e7/74/68080c04130bb376a971ea54196b6f60.jpg,,Kindle
276110349,Apple iPhone 16,Apple iPhone 16,19490000,https://salt.tikicdn.com/cache/280x280/ts/product/47/f5/68/47425f62a31015703ff60128baf676e1.jpg,,Apple
271530789,Combo Máy đọc sách All New Kindle Paperwhite 6 - Hàng chính hãng,Combo Máy đọc sách All New Kindle Paperwhite 6 - Hàng chính hãng,4790000,https://salt.tikicdn.com/cache/280x280/ts/product/cb/c4/eb/e9e5f4686f3fee8181c35226a297e016.jpg,,Kindle
201067649,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,3890000,https://salt.tikicdn.com/cache/280x280/ts/product/05/49/8f/e093321a9f3ed55fe77e8c83bfca8c55.jpg,,Kindle
197214029,Apple iPhone 14,Apple iPhone 14,13490000,https://salt.tikicdn.com/cache/280x280/ts/product/ba/f6/94/0385f9e510386f0a10c8756ff7a61a4f.png,,Apple
163914808,Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,320000,https://salt.tikicdn.com/cache/280x280/ts/product/25/6f/f3/b709b99a31a6355f82549c5320caa3c1.jpg,,Panasonic
