ten_san_pham,thuong_hieu,gia,anh,link
OPPO Reno15 F 5G 8GB/256GB,OPPO,11.490.000₫,https://cdn.tgdd.vn/Products/Images/42/360240/oppo-reno15f-5g-8gb-256gb-hong-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-reno15f-5g-8gb-256gb
vivo X300 5G 12GB/256GB,vivo,20.790.000₫,https://cdn.tgdd.vn/Products/Images/42/357861/vivo-x300-hong-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-x300
realme C100 4G 8GB/128GB,realme,7.890.000₫,https://cdn.tgdd.vn/Products/Images/42/364187/realme-c100-4g-tim-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c100-4g-8gb-128gb
Honor X7d 5G 8GB/256GB,HONOR,7.290.000₫,https://cdn.tgdd.vn/Products/Images/42/358026/honor-x7d-5g-bac-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x7d-5g-8gb-256gb
Tecno Spark 40C 4GB/128GB,TECNO,2.790.000₫,https://cdn.tgdd.vn/Products/Images/42/359425/tecno-spark-40c-4gb-128gb-trang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/tecno-spark-40c-4gb-128gb
Motorola Edge 70 8GB/256GB,Unknown,11.050.000₫,https://cdn.tgdd.vn/Products/Images/42/362374/motorola-edge-70-8gb-256gb-xam-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/motorola-edge-70-8gb-256gb?utm_flashsale=1
iPhone 14 128GB,Unknown,13.990.000₫,https://cdn.tgdd.vn/Products/Images/42/240259/iPhone-14-plus-thumb-xanh-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-14
iPhone 17e 256GB,Unknown,17.590.000₫,https://cdn.tgdd.vn/Products/Images/42/342692/iphone-17e-256gb-hong-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-17e-256gb?utm_flashsale=1
Samsung Galaxy A56 5G 12GB/256GB,Samsung,9.190.000₫,https://cdn.tgdd.vn/Products/Images/42/334932/samsung-galaxy-a56-5g-black-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a56?utm_flashsale=1
Xiaomi Redmi Note 15 6GB/128GB,Xiaomi,5.490.000₫,https://cdn.tgdd.vn/Products/Images/42/360302/xiaomi-redmi-note-15-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-6gb-128gb
OPPO A6x 4GB/64GB,OPPO,4.390.000₫,https://cdn.tgdd.vn/Products/Images/42/360244/oppo-a6x-4gb-64gb-tim-titan-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a6x-4gb-64gb
vivo X300 Pro 5G 16GB/512GB,vivo,30.990.000₫,https://cdn.tgdd.vn/Products/Images/42/357862/vivo-x300-pro-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-x300-pro
realme 16 5G 8GB/256GB,realme,10.570.000₫,https://cdn.tgdd.vn/Products/Images/42/361703/realme-16-5g-8gb-256gb-trang-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/realme-16-5g-8gb-256gb
HONOR Magic V5 5G 16GB/512GB,HONOR,38.990.000₫,https://cdn.tgdd.vn/Products/Images/42/344641/honor-magic-v5-black-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-magic-v5-5g-16gb-512gb?utm_flashsale=1
Motorola Signature 12GB/256GB,Unknown,19.980.000₫,https://cdn.tgdd.vn/Products/Images/42/362375/motorola-signature-12gb-256gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/motorola-signature-12gb-256gb?utm_flashsale=1
iPhone 16 128GB,Unknown,20.690.000₫,https://cdn.tgdd.vn/Products/Images/42/329135/iphone-16-blue-600x600.png,https://www.thegioididong.com/dtdd/iphone-16
iPhone 16e 512GB,Unknown,22.290.000₫,https://cdn.tgdd.vn/Products/Images/42/334866/iphone-16e-trang-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-16e-512gb?utm_flashsale=1
Samsung Galaxy S25 5G 12GB/256GB,Samsung,17.690.000₫,https://cdn.tgdd.vn/Products/Images/42/333363/samsung-galaxy-s25-green-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s25
